brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,price_usd,mileage_mi,clean_title_flag,accident_reported,model_year_numeric,car_age,scaled_mileage,fuel_type_encoded
Porsche,911 Carrera GTS,2015,"23,600 mi.",Gasoline,430.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Red,Black,None reported,Yes,"$132,900",132900,23600,True,False,2015,11.0,23.6,0.0
Volvo,XC70 3.2,2008,"170,000 mi.",Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"$7,000",7000,170000,True,False,2008,18.0,170.0,0.0
Nissan,350Z NISMO,2008,"76,500 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Red,At least 1 accident or damage reported,Yes,"$28,000",28000,76500,True,True,2008,18.0,76.5,0.0
Porsche,911 Turbo,2007,"73,500 mi.",Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,None reported,Yes,"$75,499",75499,73500,True,False,2007,19.0,73.5,0.0
Land Rover,Rover Range Rover SWB,2020,"29,000 mi.",Hybrid,355.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,Black,None reported,Yes,"$70,000",70000,29000,True,False,2020,6.0,29.0,
Porsche,Cayenne E-Hybrid S Platinum Edition,2017,"69,404 mi.",Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$29,500",29500,69404,True,True,2017,9.0,69.404,
Lexus,IS 350 Base,2007,"103,000 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,"$12,900",12900,103000,True,True,2007,19.0,103.0,0.0
Porsche,Macan S,2015,"70,500 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,"$26,500",26500,70500,True,True,2015,11.0,70.5,0.0
Land Rover,Rover Range Rover 5.0L Supercharged,2016,"64,000 mi.",Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,None reported,Yes,"$36,995",36995,64000,True,False,2016,10.0,64.0,0.0
GMC,Savana 2500 Work Van,2018,"63,460 mi.",E85 Flex Fuel,341.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Beige,None reported,Yes,"$33,000",33000,63460,True,False,2018,8.0,63.46,
Toyota,4Runner SR5,2018,"32,199 mi.",Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,"$35,500",35500,32199,True,False,2018,8.0,32.199,0.0
Hyundai,Palisade SEL,2020,"69,487 mi.",Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$32,000",32000,69487,True,False,2020,6.0,69.487,0.0
GMC,Sierra 2500 Denali,2015,"86,000 mi.",Diesel,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,A/T,Gray,Brown,None reported,Yes,"$49,000",49000,86000,True,False,2015,11.0,86.0,1.0
Genesis,GV70 3.5T Sport,2022,"8,730 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,8-Speed Automatic,Alta White,Red,None reported,,"$48,219",48219,8730,,False,2022,4.0,8.73,0.0
Dodge,Ram Van 1500,2002,"70,000 mi.",Gasoline,175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,At least 1 accident or damage reported,Yes,"$8,000",8000,70000,True,True,2002,24.0,70.0,0.0
Chevrolet,Impala 1LT,2017,"70,000 mi.",Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,"$17,900",17900,70000,True,True,2017,9.0,70.0,0.0
Audi,A4 2.0T Premium Plus,2015,"83,420 mi.",E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,8-Speed A/T,Red,Gray,At least 1 accident or damage reported,Yes,"$16,000",16000,83420,True,True,2015,11.0,83.42,
Nissan,Altima 2.5 S,2003,"189,000 mi.",Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,"$2,899",2899,189000,True,True,2003,23.0,189.0,0.0
Porsche,911 Carrera 4S,2017,"31,500 mi.",Gasoline,420.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Red,None reported,Yes,"$97,555",97555,31500,True,False,2017,9.0,31.5,0.0
BMW,X1 xDrive 28i,2015,"85,766 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,"$13,000",13000,85766,True,False,2015,11.0,85.766,0.0
GMC,Yukon Denali,2018,"92,800 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,Yes,"$34,000",34000,92800,True,False,2018,8.0,92.8,0.0
Land Rover,Rover Defender SE,2021,"13,970 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Black,None reported,Yes,"$75,500",75500,13970,True,False,2021,5.0,13.97,
Porsche,911 Turbo S,2023,154 mi.,Gasoline,3.8L H6 24V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,Python Green,Black,None reported,,"$274,900",274900,154,,False,2023,3.0,0.154,0.0
Toyota,Land Cruiser Base,2000,"265,000 mi.",Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Beige,None reported,Yes,"$15,500",15500,265000,True,False,2000,26.0,265.0,0.0
Scion,xB Base,2011,"95,426 mi.",Gasoline,158.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Green,Gray,None reported,Yes,"$8,000",8000,95426,True,False,2011,15.0,95.426,0.0
Honda,S2000 Base,2001,"119,900 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Red,At least 1 accident or damage reported,Yes,"$18,000",18000,119900,True,True,2001,25.0,119.9,0.0
Mazda,CX-30 Select,2020,"23,162 mi.",Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Soul Red Crystal Metallic,Black,None reported,Yes,"$25,495",25495,23162,True,False,2020,6.0,23.162,0.0
BMW,M4 Competition,2023,"3,950 mi.",Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Blue,None reported,Yes,"$83,500",83500,3950,True,False,2023,3.0,3.95,0.0
Porsche,911 Carrera 4S,2006,"80,000 mi.",Gasoline,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Beige,None reported,Yes,"$43,000",43000,80000,True,False,2006,20.0,80.0,0.0
Ford,F-250 Lariat,2015,"94,634 mi.",E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Black,At least 1 accident or damage reported,Yes,"$32,500",32500,94634,True,True,2015,11.0,94.634,
Chevrolet,Corvette Base,2007,"65,000 mi.",Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Beige,At least 1 accident or damage reported,Yes,"$33,885",33885,65000,True,True,2007,19.0,65.0,0.0
Lexus,LS 460 L,2008,"100,000 mi.",Gasoline,380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$11,500",11500,100000,True,True,2008,18.0,100.0,0.0
Toyota,Sienna XSE 25th Anniversary,2023,500 mi.,Hybrid,245.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Black,None reported,Yes,"$59,500",59500,500,True,False,2023,3.0,0.5,
Mercedes-Benz,AMG G 63 Base,2021,"7,856 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,China Blue,Black,None reported,Yes,"$425,000",425000,7856,True,False,2021,5.0,7.856,0.0
Audi,A4 2.0T Premium quattro,2011,"181,000 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$5,500",5500,181000,True,False,2011,15.0,181.0,0.0
Mercedes-Benz,GLC 300 Base 4MATIC,2018,"48,700 mi.",Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Brown,None reported,Yes,"$27,900",27900,48700,True,False,2018,8.0,48.7,0.0
Porsche,911 Turbo Cabriolet,2009,"13,500 mi.",Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,"$130,000",130000,13500,True,False,2009,17.0,13.5,0.0
Toyota,86 860 Special Edition,2017,"87,500 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,"$20,000",20000,87500,True,False,2017,9.0,87.5,0.0
Jaguar,XJ8 L,2000,"45,000 mi.",Gasoline,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,None reported,Yes,"$12,500",12500,45000,True,False,2000,26.0,45.0,0.0
Chevrolet,Corvette Base,1996,"85,760 mi.",Gasoline,300.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,Black,None reported,Yes,"$14,500",14500,85760,True,False,1996,30.0,85.76,0.0
Tesla,Model 3 Long Range,2018,"36,187 mi.",,271.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Black,None reported,Yes,"$28,895",28895,36187,True,False,2018,8.0,36.187,
Hyundai,Tucson SEL,2022,"13,666 mi.",Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Portofino Gray,Black,None reported,,"$27,999",27999,13666,,False,2022,4.0,13.666,0.0
Porsche,911 Carrera S,2007,"50,500 mi.",Gasoline,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,"$56,000",56000,50500,True,False,2007,19.0,50.5,0.0
Lincoln,Nautilus Reserve,2021,"19,291 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black,Ebony,None reported,,"$44,340",44340,19291,,False,2021,5.0,19.291,0.0
Ford,Mustang Boss 302,2012,"1,295 mi.",Gasoline,444.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,M/T,Silver,Black,None reported,Yes,"$49,990",49990,1295,True,False,2012,14.0,1.295,0.0
Cadillac,Escalade Premium Luxury,2017,"55,000 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,"$49,900",49900,55000,True,True,2017,9.0,55.0,0.0
MINI,Cooper Base,2010,"74,000 mi.",Gasoline,118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,"$9,650",9650,74000,True,False,2010,16.0,74.0,0.0
Dodge,Durango R/T,2022,"14,976 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,White Knuckle Clearcoat,Black,None reported,Yes,"$49,999",49999,14976,True,False,2022,4.0,14.976,0.0
BMW,X5 xDrive35i,2018,"25,348 mi.",Gasoline,3.0L I6 24V GDI DOHC Turbo,8-Speed Automatic,Imperial Blue Metallic,Black,At least 1 accident or damage reported,,"$33,889",33889,25348,,True,2018,8.0,25.348,0.0
Chevrolet,Corvette Base,2010,"23,133 mi.",Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,"$35,000",35000,23133,True,False,2010,16.0,23.133,0.0
Jaguar,XE 20d Prestige,2018,"34,322 mi.",Diesel,2.0 Liter,Automatic,Blue,Beige,None reported,,"$29,998",29998,34322,,False,2018,8.0,34.322,1.0
Dodge,Challenger R/T,2021,"39,960 mi.",Gasoline,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,"$28,500",28500,39960,True,True,2021,5.0,39.96,0.0
BMW,550 i xDrive,2016,"76,400 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$31,300",31300,76400,True,True,2016,10.0,76.4,0.0
Ford,Explorer XLT,2022,"18,533 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,White,Ebony,None reported,Yes,"$38,978",38978,18533,True,False,2022,4.0,18.533,0.0
GMC,Yukon XL Denali,2023,"7,500 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,"$92,888",92888,7500,True,False,2023,3.0,7.5,0.0
INFINITI,QX80 SENSORY,2022,"26,520 mi.",Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Brown,At least 1 accident or damage reported,Yes,"$64,000",64000,26520,True,True,2022,4.0,26.52,0.0
Land Rover,Rover Range Rover 3.0L Supercharged,2014,"59,500 mi.",E85 Flex Fuel,340.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,A/T,Red,Black,None reported,Yes,"$33,800",33800,59500,True,False,2014,12.0,59.5,
Honda,Pilot EX-L,2020,"44,000 mi.",Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$34,999",34999,44000,True,False,2020,6.0,44.0,0.0
Pontiac,Firebird Base,2001,"111,000 mi.",Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,"$11,000",11000,111000,True,False,2001,25.0,111.0,0.0
Toyota,4Runner Limited,2016,"82,260 mi.",Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Nautical Blue Pearl,Black,None reported,Yes,"$31,906",31906,82260,True,False,2016,10.0,82.26,0.0
Porsche,911 Carrera Cabriolet,2006,"52,744 mi.",Gasoline,325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,"$37,500",37500,52744,True,True,2006,20.0,52.744,0.0
BMW,i8 Base,2019,"28,200 mi.",Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Gray,Beige,At least 1 accident or damage reported,Yes,"$79,950",79950,28200,True,True,2019,7.0,28.2,
Nissan,Maxima GLE,2000,"194,277 mi.",Gasoline,222.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,"$2,300",2300,194277,True,True,2000,26.0,194.277,0.0
Pontiac,Firebird Trans Am,2001,"91,812 mi.",Gasoline,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,"$12,850",12850,91812,True,False,2001,25.0,91.812,0.0
Chevrolet,Suburban Premier,2018,"84,224 mi.",Gasoline,5.3L V8 16V GDI OHV,6-Speed Automatic,Tungsten Metallic,Jet Black,None reported,Yes,"$43,775",43775,84224,True,False,2018,8.0,84.224,0.0
BMW,X2 xDrive28i,2018,"66,690 mi.",Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,"$24,900",24900,66690,True,True,2018,8.0,66.69,0.0
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,"41,500 mi.",Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Brown,At least 1 accident or damage reported,Yes,"$39,848",39848,41500,True,True,2018,8.0,41.5,0.0
BMW,750 i xDrive,2014,"85,095 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,"$24,900",24900,85095,True,True,2014,12.0,85.095,0.0
Volvo,S60 T5 Premier Plus,2015,"39,000 mi.",Gasoline,250.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Gray,At least 1 accident or damage reported,Yes,"$17,900",17900,39000,True,True,2015,11.0,39.0,0.0
Tesla,Model Y Long Range,2022,"20,500 mi.",,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,Black,None reported,Yes,"$46,500",46500,20500,True,False,2022,4.0,20.5,
Ford,F-350 Platinum,2019,"112,000 mi.",Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$61,995",61995,112000,True,False,2019,7.0,112.0,1.0
Volkswagen,ID.4 Pro S,2023,"1,716 mi.",,Battery Electric,Automatic,Gray,Gray w/Blue Bolsters,None reported,,"$39,998",39998,1716,,False,2023,3.0,1.716,
Audi,A3 2.0T Premium,2016,"90,360 mi.",Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$15,499",15499,90360,True,True,2016,10.0,90.36,0.0
Ford,Explorer Limited,2020,"82,146 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Gray,Ebony,None reported,Yes,"$30,825",30825,82146,True,False,2020,6.0,82.146,0.0
Ford,Mustang GT Premium,2020,"16,850 mi.",Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,"$41,000",41000,16850,True,True,2020,6.0,16.85,0.0
Honda,S2000 Base,2003,"101,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,"$28,000",28000,101000,True,False,2003,23.0,101.0,0.0
BMW,M235 i,2015,"68,750 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,"$25,999",25999,68750,True,False,2015,11.0,68.75,0.0
Lamborghini,Aventador S Base,2018,"5,858 mi.",Gasoline,729.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Gray,None reported,Yes,"$491,836",491836,5858,True,False,2018,8.0,5.858,0.0
Dodge,Durango SLT,2004,"143,000 mi.",Gasoline,335.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,Yes,"$3,200",3200,143000,True,False,2004,22.0,143.0,0.0
Nissan,Armada LE,2005,"152,270 mi.",Gasoline,305.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,At least 1 accident or damage reported,Yes,"$6,900",6900,152270,True,True,2005,21.0,152.27,0.0
Kia,Sorento S,2021,"19,605 mi.",Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Glacial White Pearl,Black,None reported,,"$33,591",33591,19605,,False,2021,5.0,19.605,0.0
Chevrolet,Silverado 1500 RST,2020,"19,200 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,"$69,999",69999,19200,True,False,2020,6.0,19.2,0.0
Chevrolet,Impala Base,2004,"64,500 mi.",Gasoline,180.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,Yes,"$5,900",5900,64500,True,False,2004,22.0,64.5,0.0
Toyota,Tacoma PreRunner,2011,"149,000 mi.",Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,"$18,995",18995,149000,True,False,2011,15.0,149.0,0.0
McLaren,570S Spider,2018,"5,918 mi.",Gasoline,3.8L V8 32V MPFI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,Silician Yellow,Jet Black,None reported,,"$179,900",179900,5918,,False,2018,8.0,5.918,0.0
Pontiac,Firebird Trans Am,1997,"134,033 mi.",Gasoline,285.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,At least 1 accident or damage reported,Yes,"$7,200",7200,134033,True,True,1997,29.0,134.033,0.0
Kia,Stinger GT1,2019,"37,226 mi.",Gasoline,"3.3L V-6 gasoline direct injection, DOHC, D-CVVT variable valve",Automatic,Snow White Pearl,Black,None reported,,"$34,998",34998,37226,,False,2019,7.0,37.226,0.0
Ford,Escape SE,2017,"71,924 mi.",Gasoline,179.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,Yes,"$13,700",13700,71924,True,False,2017,9.0,71.924,0.0
Lamborghini,Huracan EVO Coupe,2021,"5,718 mi.",Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,Arancio Borealis,Nero Ade,None reported,,"$279,991",279991,5718,,False,2021,5.0,5.718,0.0
Jeep,Wrangler Unlimited Sport,2014,"122,200 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Orange,Black,At least 1 accident or damage reported,Yes,"$21,500",21500,122200,True,True,2014,12.0,122.2,0.0
Land Rover,Rover Range Rover Sport HST MHEV,2020,"37,248 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Silver,Black,None reported,Yes,"$54,500",54500,37248,True,False,2020,6.0,37.248,
Chevrolet,Silverado 1500 Base,1999,"88,750 mi.",Gasoline,255.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,"$6,800",6800,88750,True,False,1999,27.0,88.75,0.0
Cadillac,XLR V,2008,"64,800 mi.",Gasoline,443.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,,,"$24,700",24700,64800,,,2008,18.0,64.8,0.0
Ford,Fusion Hybrid Titanium,2014,"112,180 mi.",Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,White,Charcoal Black,None reported,,"$12,599",12599,112180,,False,2014,12.0,112.18,
RAM,2500 SLT,2015,"149,130 mi.",Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"$35,000",35000,149130,True,True,2015,11.0,149.13,1.0
Tesla,Model Y Long Range,2020,"88,000 mi.",,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,White,None reported,Yes,"$35,500",35500,88000,True,False,2020,6.0,88.0,
Toyota,Highlander XLE,2018,"74,000 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$27,950",27950,74000,True,False,2018,8.0,74.0,0.0
Ford,F-150 XLT,2019,"44,460 mi.",Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Gray,None reported,Yes,"$34,500",34500,44460,True,False,2019,7.0,44.46,0.0
GMC,Acadia SLE-2,2015,"96,000 mi.",Gasoline,281.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,None reported,Yes,"$17,000",17000,96000,True,False,2015,11.0,96.0,0.0
Porsche,Boxster Base,2005,"75,000 mi.",Gasoline,240.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Black,,,"$17,500",17500,75000,,,2005,21.0,75.0,0.0
Dodge,Charger R/T,2014,"95,000 mi.",Gasoline,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$17,900",17900,95000,True,False,2014,12.0,95.0,0.0
Land Rover,Rover Range Rover Sport Supercharged HSE,2016,"49,799 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,Brown,None reported,Yes,"$37,500",37500,49799,True,False,2016,10.0,49.799,0.0
Ford,Mustang GT,2006,"27,407 mi.",Gasoline,300.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Red,None reported,Yes,"$21,750",21750,27407,True,False,2006,20.0,27.407,0.0
Alfa Romeo,Romeo Giulia Ti,2020,"23,339 mi.",Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Rosso,Black,,,"$34,645",34645,23339,,,2020,6.0,23.339,0.0
Tesla,Model S 90D,2016,"74,122 mi.",,417.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,"$35,900",35900,74122,True,False,2016,10.0,74.122,
Jaguar,XK8 Base,1997,"50,000 mi.",Gasoline,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,"$6,000",6000,50000,True,False,1997,29.0,50.0,0.0
Mercedes-Benz,GLC 300 GLC 300,2021,"14,745 mi.",Gasoline,2.0 Liter Turbo,Automatic,Graphite Grey,,None reported,,"$38,998",38998,14745,,False,2021,5.0,14.745,0.0
Chevrolet,Corvette Stingray w/3LT,2021,"2,700 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Blue,None reported,Yes,"$85,950",85950,2700,True,False,2021,5.0,2.7,0.0
Buick,Regal Turbo - Premium 1,2012,"190,000 mi.",Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,Beige,At least 1 accident or damage reported,Yes,"$6,000",6000,190000,True,True,2012,14.0,190.0,0.0
Audi,A4 2.0T Premium,2014,"90,236 mi.",E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,"$9,999",9999,90236,True,False,2014,12.0,90.236,
Jeep,Gladiator Overland,2020,"4,000 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,"$50,000",50000,4000,True,False,2020,6.0,4.0,0.0
Land Rover,Rover Range Rover Westminster SWB,2022,"2,220 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Blue,White,None reported,Yes,"$115,999",115999,2220,True,False,2022,4.0,2.22,
GMC,Yukon XL Denali,2017,"124,000 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Beige,At least 1 accident or damage reported,Yes,"$32,000",32000,124000,True,True,2017,9.0,124.0,0.0
Ford,Ranger Lariat,2019,"45,163 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Red,,None reported,Yes,"$35,690",35690,45163,True,False,2019,7.0,45.163,0.0
Volkswagen,Passat 2.0T SE,2020,"49,400 mi.",Gasoline,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Brown,None reported,Yes,"$20,900",20900,49400,True,False,2020,6.0,49.4,0.0
Porsche,911 Carrera,2020,"11,256 mi.",Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,Yes,"$124,900",124900,11256,True,False,2020,6.0,11.256,0.0
Chevrolet,Corvette Stingray w/1LT,2021,"13,700 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Red,None reported,Yes,"$75,000",75000,13700,True,False,2021,5.0,13.7,0.0
